"Country Code","AgreeAndStronglyAgreePct"
"AE",0.33
"AF",1
"AL",1
"AO",0.5
"AR",1
"AT",1
"AU",0.88
"BD",0.8
"BE",0.75
"BG",0.94
"BH",1
"BI",0.83
"BJ",1
"BO",1
"BR",0.98
"BS",1
"BW",1
"CA",0.91
"CD",0.94
"CF",1
"CG",1
"CH",1
"CI",1
"CL",0.96
"CM",0.93
"CN",0.75
"CO",0.95
"CR",1
"CZ",0.93
"DE",0.9
"DJ",1
"DK",0.71
"DO",1
"DZ",0.67
"EC",0.9
"EE",1
"EG",0.83
"ES",0.93
"ET",0.75
"FI",0.73
"FR",0.92
"GA",1
"GB",0.93
"GE",1
"GH",0.97
"GN",1
"GR",1
"GT",0.9
"HK",0.95
"HN",1
"HR",1
"HT",1
"HU",0.91
"ID",0.97
"IE",0.96
"IN",0.86
"IQ",0.75
"IT",0.9
"JO",1
"JP",0.94
"KE",0.93
"KG",1
"KH",1
"KR",0.97
"KZ",1
"LB",1
"LK",0.88
"LR",0.89
"LT",1
"LU",0.67
"LV",1
"LY",1
"MD",0.97
"ML",1
"MM",1
"MN",1
"MQ",1
"MT",1
"MU",0.5
"MW",1
"MX",0.95
"MY",0.94
"MZ",1
"NA",1
"NE",0.5
"NG",0.92
"NI",1
"NL",0.63
"NP",0.8
"NZ",0.95
"PA",1
"PE",1
"PH",0.9
"PK",0.75
"PL",0.9
"PR",1
"PS",1
"PT",0.93
"PY",1
"RO",0.95
"RS",1
"RW",0.75
"SA",0.83
"SE",0.82
"SG",0.97
"SI",0.73
"SK",1
"SL",0.92
"SN",1
"SO",1
"SR",1
"ST",1
"SV",1
"SY",1
"SZ",1
"TD",1
"TG",1
"TH",0.94
"TJ",1
"TR",0.95
"TT",1
"TW",0.94
"TZ",0.88
"UA",0.87
"UG",0.93
"US",0.92
"UY",1
"VE",1
"VI",1
"VN",1
"YE",1
"ZA",0.97
"ZM",0.89
"ZW",1
"Total",0.92
,
"Applied filters:
Qnum is 11
ResponseOptions is Internet access is critical for you to reach funders or do fundraising to support your programs
Status is Complete",
