"Country Code","PctChecked"
"AD",1
"AE",0.67
"AF",0.5
"AL",0.33
"AO",0.5
"AR",0.36
"AT",0.33
"AU",0.41
"BD",0.6
"BE",0.22
"BG",0.25
"BI",1
"BJ",1
"BO",0.67
"BR",0.4
"BW",0.67
"CA",0.35
"CD",0.12
"CF",0.67
"CH",0.3
"CI",0.5
"CL",0.42
"CM",0.71
"CN",0.75
"CO",0.6
"CR",0.25
"CZ",0.37
"DE",0.41
"DK",0.29
"DO",0.4
"EC",0.5
"EE",0.5
"EG",0.67
"ES",0.16
"ET",1
"FI",0.09
"FR",0.5
"GA",1
"GB",0.27
"GH",0.47
"GN",0.25
"GR",0.5
"GT",0.8
"HK",0.32
"HN",0.57
"HR",1
"HU",0.25
"ID",0.66
"IE",0.35
"IN",0.57
"IQ",0.75
"IT",0.47
"JO",0.5
"JP",0.25
"KE",0.35
"KH",0.17
"KR",0.14
"KZ",1
"LK",0.13
"LR",0.67
"LU",0.5
"LV",0.25
"LY",1
"MD",0.31
"ML",1
"MM",0.5
"MT",1
"MU",0.5
"MW",0.25
"MX",0.6
"MY",0.48
"MZ",0.5
"NE",1
"NG",0.43
"NI",0.67
"NL",0.1
"NP",0.6
"NZ",0.25
"PE",0.63
"PH",0.65
"PK",0.5
"PL",0.4
"PR",0.67
"PS",1
"PT",0.33
"PY",0.67
"RO",0.22
"RW",0.5
"SA",0.4
"SD",1
"SE",0.15
"SG",0.19
"SI",0.24
"SL",0.62
"SN",0.33
"SR",1
"SV",0.25
"SY",1
"SZ",0.67
"TD",0.5
"TG",1
"TH",0.33
"TJ",0.83
"TR",0.47
"TW",0.24
"TZ",0.29
"UA",0.41
"UG",0.23
"US",0.41
"UY",1
"VE",0.83
"VI",0.5
"VN",0.2
"YE",0.8
"ZA",0.35
"ZM",0.22
"ZW",0.17
"Total",0.39
,
"Applied filters:
 Qnum is 14
 ResponseOptions is Speed of internet
 Status is Complete",
