"Country Code","PctStronglyAgree"
"BH",1
"BS",1
"CG",1
"DJ",1
"GE",1
"HR",1
"JO",1
"KG",1
"LT",1
"MN",1
"MT",1
"PR",1
"PS",1
"SK",1
"SN",1
"SR",1
"ST",1
"SV",1
"TT",1
"DK",0.94
"FI",0.91
"CH",0.9
"ES",0.88
"SG",0.87
"HU",0.85
"ZW",0.83
"PT",0.82
"KR",0.81
"BE",0.81
"NL",0.8
"MD",0.79
"SE",0.79
"AU",0.79
"HK",0.79
"IT",0.79
"BG",0.79
"GB",0.79
"AT",0.78
"TW",0.77
"DE",0.77
"CA",0.76
"IE",0.76
"SI",0.76
"CR",0.75
"LK",0.75
"JP",0.73
"RO",0.72
"US",0.71
"CZ",0.7
"NZ",0.68
"TR",0.68
"AL",0.67
"GR",0.67
"KH",0.67
"MY",0.67
"CL",0.65
"SA",0.64
"MX",0.63
"DO",0.6
"YE",0.6
"BR",0.59
"FR",0.58
"PK",0.58
"UA",0.58
"HN",0.57
"PL",0.57
"CO",0.57
"TH",0.56
"AR",0.55
"ZA",0.53
"EE",0.5
"GN",0.5
"GT",0.5
"IQ",0.5
"LU",0.5
"LV",0.5
"ML",0.5
"MM",0.5
"MU",0.5
"MZ",0.5
"NA",0.5
"PE",0.5
"RS",0.5
"SO",0.5
"TD",0.5
"VI",0.5
"ID",0.49
"PH",0.47
"EC",0.4
"VN",0.4
"TZ",0.38
"AE",0.33
"BO",0.33
"BW",0.33
"DZ",0.33
"EG",0.33
"NI",0.33
"PY",0.33
"VE",0.33
"IN",0.32
"KE",0.31
"NG",0.31
"SL",0.31
"UG",0.27
"CN",0.25
"ET",0.25
"MW",0.25
"RW",0.25
"TG",0.25
"GH",0.22
"CM",0.21
"NP",0.2
"BI",0.17
"CD",0.12
"LR",0.11
"ZM",0.11
"Total",0.67
,
"Applied filters:
 Qnum is 16
 ResponseOptions is You have access to the internet where you normally work
 Status is Complete",
