"Country Code","PctExpensiveAndCantAfford"
"AD",1
"AE",0.33
"AF",0.75
"AL",1
"AO",0.5
"AR",0.77
"AT",0.78
"AU",0.6
"BD",1
"BE",0.64
"BG",0.73
"BI",0.83
"BJ",0.67
"BO",0.83
"BR",0.78
"BW",1
"CA",0.58
"CD",0.71
"CF",1
"CG",1
"CH",0.7
"CI",1
"CL",0.65
"CM",0.79
"CN",0.5
"CO",0.74
"CR",0.25
"CZ",0.56
"DE",0.63
"DJ",1
"DK",0.53
"DO",0.6
"DZ",0.67
"EC",0.6
"EG",0.83
"ES",0.69
"ET",1
"FI",0.45
"FR",0.75
"GA",1
"GB",0.6
"GH",0.81
"GN",0.75
"GR",0.67
"GT",0.8
"HK",0.53
"HN",1
"HT",0.67
"HU",0.73
"ID",0.57
"IE",0.61
"IN",0.71
"IQ",0.5
"IT",0.37
"JO",0.5
"JP",0.67
"KE",0.91
"KG",0.5
"KH",0.67
"KR",0.83
"KZ",0.5
"LB",1
"LK",0.63
"LR",0.89
"LT",0.8
"LU",0.5
"LV",0.75
"LY",1
"MD",0.77
"ML",1
"MM",0.83
"MN",1
"MQ",1
"MT",1
"MU",0.5
"MW",0.75
"MX",0.73
"MY",0.79
"MZ",0.5
"NA",0.5
"NE",0.5
"NG",0.75
"NI",0.67
"NL",0.51
"NP",1
"NZ",0.55
"PA",1
"PE",0.63
"PH",0.76
"PK",0.83
"PL",0.82
"PR",0.67
"PS",1
"PT",0.71
"PY",0.67
"RO",0.78
"RS",0.5
"RW",0.75
"SA",0.5
"SE",0.5
"SG",0.68
"SI",0.7
"SK",1
"SL",0.85
"SN",0.33
"SO",0.5
"SR",1
"ST",1
"SV",0.5
"SY",1
"SZ",1
"TD",0.5
"TG",0.5
"TH",0.61
"TJ",0.67
"TR",0.85
"TW",0.66
"TZ",0.83
"UA",0.73
"UG",0.83
"US",0.55
"UY",1
"VE",0.67
"VI",1
"VN",0.4
"YE",0.4
"ZA",0.71
"ZM",0.67
"ZW",0.67
"Total",0.64
,
"Applied filters:
 Qnum is 23
 ResponseOptions is Software (ex Microsoft Teams, Asana, Slack, 1Password, Salesforce)
 Status is Complete",
