"Country","PctExpAndCantAffordAny"
"Albania",0
"Algeria",0
"Argentina",0.36
"Australia",0.11
"Austria",0.11
"Bahrain",0
"Bangladesh",0.2
"Belgium",0.24
"Benin",0
"Bolivia",0.33
"Botswana",0.33
"Brazil",0.36
"Bulgaria",0.12
"Cambodia",0.17
"Cameroon",0.29
"Canada",0.25
"Chile",0.2
"China",0
"Colombia",0.36
"Congo (DRC)",0.29
"Cote D'Ivoire (Ivory Coast)",0.5
"Croatia",0
"Czech Republic",0.09
"Denmark",0
"Dominican Republic",0.2
"Ecuador",0.2
"Egypt",0.5
"El Salvador",0.5
"Estonia",0
"Ethiopia",0.25
"Finland",0
"France",0.25
"Gabon",0
"Georgia",0
"Germany",0.14
"Ghana",0.42
"Greece",0.17
"Guatemala",0.1
"Guinea",0.25
"Haiti",0
"Honduras",0.43
"Hungary",0.18
"India",0.2
"Indonesia",0.11
"Iraq",0
"Ireland",0.14
"Italy",0.06
"Japan",0.2
"Jordan",0.5
"Kenya",0.38
"Korea (South)",0.05
"Latvia",0.25
"Lebanon",0
"Liberia",0.22
"Libya",0
"Lithuania",0
"Luxembourg",0.33
"Malawi",0.25
"Malaysia",0.15
"Mali",0.5
"Malta",1
"Mexico",0.21
"Moldova",0.1
"Mongolia",0
"Myanmar",0.33
"Namibia",0
"Nepal",0.6
"Netherlands",0.08
"New Zealand",0.18
"Nicaragua",0
"Nigeria",0.46
"Pakistan",0.33
"Palestinian Authority",0
"Panama",0
"Peru",0.13
"Philippines",0.32
"Poland",0.3
"Portugal",0.18
"Puerto Rico",0.33
"Romania",0.13
"Saudi Arabia",0.14
"Senegal",0
"Serbia",0
"Sierra Leone",0.46
"Singapore",0
"Slovak Republic",0
"Slovenia",0
"South Africa",0.34
"Spain",0.13
"Sri Lanka",0.38
"Sweden",0.03
"Switzerland",0.2
"Taiwan",0.16
"Tanzania",0.38
"Thailand",0.17
"Togo",0.5
"Turkey",0.46
"Uganda",0.4
"Ukraine",0.08
"United Arab Emirates",0
"United Kingdom",0.14
"United States",0.2
"Vietnam",0
"Yemen",0.2
"Zambia",0.44
"Zimbabwe",0
