"Country Code","PctYes"
"AF",0.5
"AL",1
"AO",1
"AR",0.55
"AT",0.56
"AU",0.33
"BD",0.6
"BE",0.51
"BG",0.21
"BH",1
"BI",0.83
"BJ",0.33
"BO",0.17
"BR",0.35
"BW",0.33
"CA",0.3
"CD",0.76
"CF",1
"CG",1
"CH",0.7
"CI",1
"CL",0.35
"CM",0.79
"CN",0.75
"CO",0.38
"CR",0.75
"CZ",0.3
"DE",0.44
"DJ",1
"DK",0.35
"DO",0.6
"EC",0.3
"EE",1
"EG",0.83
"ES",0.51
"ET",0.5
"FI",0.55
"FR",0.67
"GA",1
"GB",0.37
"GH",0.53
"GN",1
"GR",0.5
"GT",0.5
"HK",0.32
"HN",0.29
"HR",1
"HT",0.33
"HU",0.27
"ID",0.67
"IE",0.41
"IN",0.72
"IQ",0.5
"IT",0.44
"JO",0.5
"JP",0.37
"KE",0.46
"KG",1
"KH",0.67
"KR",0.52
"KZ",0.75
"LK",0.63
"LR",0.78
"LT",0.6
"LU",0.83
"LV",0.25
"MD",0.31
"ML",1
"MM",0.83
"MN",1
"MQ",1
"MU",1
"MW",0.75
"MX",0.45
"MY",0.48
"NA",0.5
"NE",1
"NG",0.65
"NI",0.33
"NL",0.25
"NP",0.6
"NZ",0.22
"PE",0.88
"PH",0.47
"PK",0.58
"PL",0.44
"PT",0.37
"PY",0.67
"RO",0.43
"RS",1
"RW",0.75
"SA",0.45
"SE",0.35
"SG",0.32
"SI",0.48
"SK",1
"SL",0.69
"SN",0.33
"SO",0.5
"SR",1
"SV",0.25
"SZ",1
"TD",1
"TG",0.25
"TH",0.5
"TJ",0.5
"TR",0.42
"TW",0.43
"TZ",0.54
"UA",0.44
"UG",0.6
"US",0.25
"VE",0.33
"VN",0.8
"ZA",0.41
"ZM",0.11
"ZW",0.33
"Total",0.4
,
"Applied filters:
Qnum is 29
Qnum is 29
Status is Complete",
