"Country Code","PctDisagreeAndStronglyDisagree"
"AD",1
"AE",0.33
"AF",0.5
"AL",0.33
"AO",0.5
"AR",0.27
"AT",0.11
"AU",0.18
"BD",0.2
"BE",0.38
"BG",0.47
"BI",0.5
"BJ",0.67
"BO",0.67
"BR",0.46
"BW",0.67
"CA",0.21
"CD",0.41
"CF",1
"CI",1
"CL",0.36
"CM",0.5
"CO",0.41
"CR",0.25
"CZ",0.27
"DE",0.33
"DK",0.18
"DO",0.4
"DZ",0.33
"EC",0.4
"EE",0.5
"EG",0.33
"ES",0.25
"ET",0.75
"FR",0.67
"GA",1
"GB",0.13
"GH",0.5
"GN",0.75
"GT",0.4
"HK",0.47
"HN",0.57
"HU",0.23
"ID",0.19
"IE",0.18
"IN",0.34
"IQ",0.5
"IT",0.37
"JO",0.5
"JP",0.2
"KE",0.47
"KG",0.5
"KH",0.5
"KR",0.52
"KZ",0.75
"LB",1
"LR",0.33
"LU",0.67
"LV",0.25
"LY",1
"MD",0.46
"MM",0.67
"MQ",1
"MU",0.5
"MW",0.25
"MX",0.42
"MY",0.45
"MZ",1
"NA",0.5
"NE",0.5
"NG",0.34
"NI",0.67
"NL",0.19
"NP",0.6
"NZ",0.09
"PE",0.75
"PH",0.48
"PK",0.42
"PL",0.45
"PS",1
"PT",0.2
"PY",0.67
"RO",0.33
"RS",0.5
"RW",0.25
"SA",0.38
"SE",0.12
"SG",0.32
"SI",0.15
"SL",0.54
"SN",0.67
"SO",1
"SR",1
"SV",1
"SZ",0.33
"TG",0.75
"TH",0.33
"TJ",1
"TR",0.51
"TW",0.67
"TZ",0.5
"UA",0.36
"UG",0.6
"US",0.2
"UY",1
"VN",0.2
"YE",0.4
"ZA",0.27
"ZM",0.22
"ZW",0.33
"Total",0.29
,
"Applied filters:
Qnum is 31
Status is Complete",
