"Country Code","PctAgreeAndStronglyAgree"
"AE",0.67
"AF",1
"AL",1
"AO",0.5
"AR",1
"AT",1
"AU",0.89
"BD",1
"BE",0.97
"BG",0.9
"BH",1
"BI",1
"BJ",1
"BO",1
"BR",0.97
"BS",1
"BW",1
"CA",0.89
"CD",1
"CF",0.67
"CG",1
"CH",1
"CI",1
"CL",0.93
"CM",1
"CN",1
"CO",0.98
"CR",1
"CZ",0.8
"DE",0.96
"DJ",1
"DK",0.94
"DO",1
"DZ",0.67
"EC",1
"EE",1
"EG",1
"ES",0.93
"ET",1
"FI",1
"FR",1
"GA",1
"GB",0.9
"GH",0.94
"GN",1
"GR",1
"GT",0.9
"HK",1
"HN",1
"HR",1
"HT",1
"HU",0.94
"ID",0.94
"IE",0.85
"IN",0.9
"IQ",1
"IT",0.97
"JO",1
"JP",0.94
"KE",0.96
"KG",1
"KH",1
"KR",1
"KZ",1
"LB",1
"LK",1
"LR",1
"LT",1
"LU",0.83
"LV",1
"LY",1
"MD",0.85
"ML",1
"MM",1
"MN",1
"MQ",1
"MT",1
"MU",1
"MW",1
"MX",0.97
"MY",0.97
"MZ",1
"NA",0.5
"NE",1
"NG",0.92
"NI",1
"NL",0.9
"NP",0.8
"NZ",0.86
"PA",1
"PE",0.75
"PH",0.81
"PK",1
"PL",0.93
"PR",1
"PS",1
"PT",0.94
"PY",1
"RO",0.88
"RS",1
"RW",0.75
"SA",0.9
"SD",1
"SE",0.94
"SG",1
"SI",0.94
"SK",1
"SL",0.92
"SN",1
"SO",1
"SR",1
"ST",1
"SV",1
"SY",0.5
"SZ",1
"TD",1
"TG",1
"TH",1
"TJ",1
"TR",0.97
"TT",1
"TW",0.96
"TZ",1
"UA",0.94
"UG",0.87
"US",0.82
"UY",1
"VE",1
"VI",1
"VN",1
"YE",1
"ZA",0.89
"ZM",0.89
"ZW",0.83
"Total",0.91
,
"Applied filters:
 Qnum is 35
 ResponseOptions is You believe that internet access is a basic right
 Status is Complete",
